departure location: 32-209 or 234-963
departure station: 47-64 or 83-967
departure platform: 37-609 or 628-970
departure track: 29-546 or 567-971
departure date: 50-795 or 816-960
departure time: 49-736 or 750-962
arrival location: 48-399 or 420-967
arrival station: 49-353 or 360-967
arrival platform: 37-275 or 298-969
arrival track: 40-119 or 127-954
class: 35-750 or 760-968
duration: 43-162 or 186-963
price: 30-889 or 914-949
route: 39-266 or 274-950
row: 45-366 or 389-954
seat: 42-765 or 772-955
train: 30-494 or 518-957
type: 48-822 or 835-973
wagon: 32-330 or 342-951
zone: 36-455 or 462-973

your ticket:
109,137,131,157,191,103,127,53,107,151,61,59,139,83,101,149,89,193,113,97

nearby tickets:
141,889,637,661,351,108,544,424,330,479,662,448,152,584,408,736,714,299,61,864
692,855,843,361,21,265,678,716,347,531,56,792,492,656,727,848,149,596,887,862
819,139,202,774,606,242,646,653,298,111,881,937,118,600,423,354,780,249,639,301
938,258,482,697,640,678,946,349,153,198,707,601,925,601,677,307,925,840,870,177
119,724,442,993,137,394,85,673,609,862,631,92,545,591,104,451,130,603,94,946
468,932,879,522,256,688,587,747,154,735,476,661,312,602,315,314,263,55,203,733
265,630,795,703,244,848,818,195,692,728,216,637,765,195,697,489,188,302,189,662
97,300,193,203,87,835,835,205,850,584,690,218,699,734,433,862,149,657,686,691
493,657,652,170,252,188,915,424,57,302,858,484,520,676,441,730,481,656,307,263
425,776,137,931,633,402,197,83,574,161,732,85,445,726,786,208,535,773,390,248
765,689,63,389,523,352,203,50,161,817,604,799,441,719,116,196,680,363,782,521
876,882,389,543,575,257,333,481,493,852,134,939,114,576,705,915,645,584,259,710
693,600,818,420,434,536,884,868,571,569,235,423,250,712,158,98,860,512,157,136
201,882,688,918,244,147,678,619,194,237,931,914,649,446,783,107,207,260,518,652
690,469,660,915,726,866,348,147,147,63,22,646,933,141,441,443,327,859,98,654
246,882,869,239,914,342,682,705,243,263,629,641,607,776,193,50,997,701,314,887
818,700,363,103,672,327,433,91,242,882,147,413,490,729,914,870,476,360,127,262
138,791,317,866,694,849,55,845,660,699,349,894,630,390,638,838,850,573,433,859
398,765,264,195,275,538,429,677,939,483,943,481,248,786,434,200,126,920,53,764
570,928,684,793,779,782,531,343,656,609,688,624,113,84,304,641,314,464,662,93
914,872,984,638,792,636,104,668,636,303,604,306,728,254,655,88,429,923,248,659
478,243,884,54,632,920,430,539,108,144,496,274,396,855,204,307,53,129,774,256
320,430,316,88,840,330,847,629,788,261,551,835,325,711,639,109,274,152,199,887
236,250,820,662,795,638,507,784,431,654,161,694,704,641,489,108,154,300,872,881
678,140,424,204,101,915,244,687,869,817,445,847,492,95,945,873,704,319,417,429
646,206,438,256,541,629,348,856,687,311,268,541,704,876,152,63,141,312,711,523
781,274,662,531,777,342,926,128,474,182,206,483,939,196,776,60,311,653,520,669
193,525,275,923,305,343,888,858,143,706,144,438,484,487,299,463,761,987,477,935
327,856,52,586,95,646,300,722,363,667,116,531,491,570,653,102,350,125,539,701
865,821,685,522,102,449,728,527,471,87,884,839,357,765,642,655,432,141,155,299
394,767,149,394,263,352,784,437,600,582,788,469,579,138,696,150,158,924,319,917
129,633,605,207,136,318,301,654,629,200,597,4,921,654,581,926,441,55,444,446
450,469,472,363,692,869,579,204,643,133,866,581,91,161,334,109,696,427,822,936
299,195,155,235,64,136,869,791,723,701,771,207,133,489,188,84,489,881,856,88
52,533,185,859,52,187,90,593,876,64,394,57,821,944,773,328,782,653,726,733
865,129,240,602,84,735,821,220,730,685,667,391,543,728,146,301,153,605,321,138
127,236,398,194,731,333,319,203,251,91,917,941,708,777,427,50,240,727,629,390
750,93,128,470,638,60,156,589,469,864,6,421,103,532,189,363,113,791,390,238
308,677,932,631,261,698,105,106,578,265,809,330,266,63,725,156,697,837,701,239
670,263,691,16,467,750,151,188,591,697,718,943,312,539,350,887,777,644,872,117
663,530,838,779,700,258,643,305,90,421,621,918,630,884,347,275,275,876,632,864
528,300,917,676,439,567,155,207,839,60,53,544,877,140,298,165,491,947,889,869
329,424,882,351,733,209,131,244,677,8,776,323,698,642,94,129,247,781,659,50
239,774,873,532,490,427,879,523,275,142,690,668,115,346,488,261,675,272,569,570
686,14,641,603,696,595,779,209,781,680,162,463,156,353,203,424,470,477,652,718
660,855,473,924,850,925,668,836,208,320,275,838,647,861,662,822,8,310,315,481
578,916,489,591,985,691,601,847,207,885,673,840,711,851,363,429,653,790,475,576
275,317,441,727,636,671,979,84,670,97,932,591,639,240,598,153,323,657,858,317
688,135,124,99,850,781,917,107,674,672,102,857,63,160,720,113,445,675,838,604
125,52,127,656,542,353,764,87,632,114,689,659,155,609,699,677,608,787,760,468
853,936,585,714,935,606,686,418,128,840,777,323,710,542,493,438,145,237,577,674
589,88,301,665,200,657,662,887,131,160,209,689,594,61,592,449,253,185,479,846
940,876,324,880,328,654,452,945,102,841,597,855,235,847,769,330,320,540,657,946
855,764,90,857,485,330,696,202,101,726,713,845,862,209,977,577,719,484,604,257
699,255,155,637,630,769,299,727,914,607,944,599,679,648,522,587,314,436,360,480
660,638,493,306,323,351,928,105,464,470,235,795,264,666,915,92,130,990,599,344
908,50,604,855,434,923,670,483,491,580,938,644,689,917,570,435,439,479,578,816
840,864,664,681,855,822,567,764,364,778,787,929,768,645,760,820,469,919,606,189
97,594,923,567,997,436,629,262,140,101,631,312,437,861,108,449,55,529,56,492
397,55,730,570,93,538,187,179,660,862,580,879,640,947,708,494,101,697,361,857
588,619,520,99,420,248,430,608,303,342,394,316,462,254,573,202,884,696,442,238
645,716,266,637,688,905,198,651,788,591,138,641,451,132,366,934,687,151,186,522
100,703,686,631,449,589,569,875,308,609,764,205,846,124,571,471,204,880,764,209
588,608,13,85,199,486,946,727,840,134,102,305,712,156,679,713,941,252,260,156
428,636,882,881,307,703,352,274,342,334,56,118,455,629,605,487,679,918,866,839
524,327,946,877,637,52,484,439,471,441,863,465,63,112,580,481,872,976,141,819
303,521,91,121,728,393,463,574,89,916,427,760,519,856,191,787,920,258,104,664
321,204,243,529,986,197,94,86,135,660,434,851,466,241,688,878,145,86,570,915
326,187,720,601,314,315,697,727,694,316,836,737,455,658,628,162,609,422,85,795
87,61,678,86,311,669,836,693,448,855,69,129,869,92,307,95,594,934,944,701
148,818,203,781,856,304,490,319,462,914,51,240,474,710,171,141,855,248,609,98
792,696,708,234,597,774,923,55,688,189,109,127,390,96,105,11,884,102,154,304
672,309,696,794,432,320,63,437,780,242,937,536,545,654,236,659,934,986,844,863
698,202,531,365,583,583,135,62,650,924,83,127,436,50,444,334,819,700,577,731
764,871,765,391,135,856,103,446,726,197,245,334,399,790,440,365,390,680,733,141
204,353,301,865,310,889,534,767,463,777,850,108,434,353,189,258,529,652,329,353
465,265,480,149,929,608,578,358,485,207,661,118,244,310,99,845,526,188,690,450
729,262,879,315,344,93,54,151,529,236,716,675,429,594,709,191,331,822,817,89
879,586,349,701,528,816,85,254,115,588,364,107,819,129,99,120,391,252,308,153
734,865,866,686,662,267,533,698,856,462,437,63,846,325,762,525,59,392,129,923
192,71,146,346,429,352,793,541,936,348,481,53,577,921,915,259,583,481,701,544
683,605,543,398,840,935,579,658,114,303,309,682,420,932,734,211,673,316,817,598
304,440,541,196,645,494,255,109,84,881,667,545,527,568,941,461,609,476,138,312
585,147,56,524,856,947,664,529,850,424,358,533,918,205,145,844,600,51,765,784
258,660,540,865,143,109,706,351,316,578,251,192,661,768,569,944,724,844,90,153
483,126,431,727,159,536,157,190,567,783,92,395,782,236,589,946,763,432,150,607
583,254,569,571,926,196,764,275,153,489,450,132,988,152,329,690,541,206,96,838
109,432,876,51,98,598,217,243,723,927,656,782,323,310,933,724,939,257,363,947
594,194,732,245,190,347,775,132,778,479,701,64,711,665,940,796,451,195,791,733
724,92,544,474,454,92,577,596,449,262,887,54,258,709,432,488,914,553,527,199
90,434,721,643,242,859,122,535,879,521,866,115,848,423,326,523,54,867,63,366
720,639,151,311,835,112,679,574,521,531,262,316,607,201,708,684,102,97,183,192
189,208,242,702,327,628,635,204,190,691,736,132,239,248,272,275,442,666,158,721
325,239,677,569,62,542,243,162,641,127,451,819,909,469,692,632,878,238,935,154
428,783,390,865,873,301,923,351,312,453,101,243,792,925,720,835,411,144,676,691
162,234,479,593,865,929,671,855,239,629,452,666,778,52,237,299,641,519,124,207
428,718,519,195,99,326,657,699,733,259,705,508,873,675,592,839,713,782,242,840
662,191,487,794,685,320,949,778,1,480,256,540,448,257,493,934,914,889,888,312
