103,224
624,491
808,688
1076,130
700,26
55,794
119,724
773,809
875,33
922,135
509,260
801,176
1143,85
619,526
1250,138
753,431
1260,654
276,457
637,718
1183,115
284,137
539,757
279,85
1128,474
406,469
1086,170
927,673
310,702
35,796
268,892
202,249
820,878
992,121
339,649
1275,796
1113,290
336,616
522,471
755,764
631,204
241,393
455,546
1165,176
304,276
855,859
582,380
437,9
944,400
199,770
124,473
522,423
167,85
606,493
1158,688
1186,473
981,54
790,507
704,493
788,362
971,201
512,889
758,810
1101,770
325,840
734,873
725,586
416,105
1183,365
1233,725
698,256
418,112
520,507
276,773
634,185
483,693
612,256
651,603
1225,53
1268,759
35,339
311,474
984,592
1237,770
1093,129
755,639
671,278
788,471
430,810
693,231
281,227
454,178
1,54
1290,499
619,407
1081,575
1252,266
1186,421
698,638
1218,561
954,763
692,402
923,532
281,631
222,777
1047,316
1109,215
513,824
771,645
802,640
769,471
42,256
619,80
913,425
340,68
397,833
539,137
1136,654
515,18
507,247
1274,402
970,364
913,362
328,410
775,404
164,16
356,763
545,353
790,506
780,46
378,569
276,437
878,777
159,613
313,137
377,418
134,22
483,14
1207,670
1238,738
528,268
913,761
1009,501
1217,805
865,361
460,801
358,715
857,775
552,842
771,197
627,40
765,577
1071,704
862,638
811,686
219,413
904,425
728,738
1020,588
1240,225
619,78
611,180
610,474
388,135
957,582
194,43
1027,842
917,864
537,770
831,26
1240,669
1034,582
1210,49
1036,282
1217,537
271,100
537,691
584,290
224,618
1111,546
610,26
726,221
1053,509
1295,278
1094,859
725,245
552,52
981,168
448,190
905,64
700,126
132,179
930,648
692,189
659,291
1027,852
984,78
318,121
1026,757
889,385
184,596
746,50
850,93
233,173
234,130
201,679
290,588
510,0
284,869
939,628
147,303
1265,78
445,361
763,477
1250,586
1178,715
282,196
1290,617
719,191
460,93
932,325
529,343
112,829
967,567
43,714
545,541
541,423
612,759
1262,196
473,522
878,117
512,596
182,446
783,529
797,70
768,65
477,270
552,810
373,227
502,682
378,121
430,724
592,565
180,254
145,718
184,298
748,354
127,147
845,400
951,485
393,260
898,357
480,667
541,871
507,199
1267,714
407,406
288,494
152,654
827,14
1028,698
1000,192
549,169
490,211
1111,592
535,404
26,854
372,126
455,859
236,340
716,808
387,532
1101,361
857,119
999,420
276,878
373,417
923,670
92,729
179,703
619,555
455,348
668,266
674,217
1139,880
442,530
1042,2
594,586
890,354
13,757
698,759
268,677
1125,276
314,826
1210,889
207,42
691,78
241,277
42,638
176,82
445,891
315,649
1081,95
880,810
782,268
472,229
2,826
769,23
974,616
898,537
102,674
604,374
415,480
1154,453
1110,14
798,695
562,333
336,809
254,508
412,313
271,221
763,171
883,255
992,773
999,327
818,36
1081,215
974,278
1274,588
808,234
373,477
43,42
552,674
609,816
440,486
1081,679
105,723
281,667
865,96
574,442
290,140
1289,294
338,682
299,264
1268,638
1154,5
42,759
999,474
502,688
35,787
452,400
1116,679
571,684
420,781
1056,396
1309,467
1238,193
1287,204
448,638
418,844
832,82
1053,385
1290,395
1101,768
1027,42
1146,858
768,787
716,674
765,541
504,82
512,471
1206,565
691,80
391,764
1208,514
