Ride	Thu, 6/14/2012	Coyote Creek Century with Juliet	8:08:15	100.07 mi	1,513 ft		
Ride	Sat, 5/13/2017	Morgan Hill iCare Classic	7:27:21	100.05 mi	4,596 ft		
Ride	Sat, 5/12/2018	ICare Classic, Morgan Hill	6:47:46	91.29 mi	4,160 ft		
Ride	Sat, 5/6/2017	Wine Country Century	7:15:22	89.49 mi	5,246 ft		
Ride	Fri, 8/10/2018	Bike Ride Northwest Day 6	6:14:18	84.70 mi	4,380 ft		
Ride	Sat, 10/1/2016	Half Moon Bay overnight campout	7:30:38	80.07 mi	6,039 ft		
Ride	Tue, 8/7/2018	Bike Ride Northwest Day 3	6:10:39	78.96 mi	5,092 ft		
Ride	Sun, 6/15/2014	Sierra to the Sea Day 1	5:34:06	78.53 mi	4,777 ft		
Ride	Sat, 4/23/2016	Wildflower Century	5:36:10	77.22 mi	4,193 ft		
Ride	Mon, 6/16/2014	Sierra to the Sea Day 2	5:35:06	74.68 mi	2,451 ft		
Ride	Fri, 8/12/2016	Half Moon Bay / Harvey's 73/7300 Birthday Ride	6:44:14	74.35 mi	6,610 ft		
Ride	Wed, 10/14/2015	Half Moon Bay	6:07:55	72.97 mi	7,644 ft		
Ride	Fri, 1/27/2017	Morning Ride	5:16:50	70.07 mi	2,539 ft		
Ride	Tue, 6/17/2014	Sierra to the Sea Day 3	4:48:41	68.64 mi	825 ft		
Ride	Thu, 8/9/2018	Bike Ride Northwest Day 5	4:58:07	68.41 mi	3,862 ft		
Ride	Sat, 4/15/2017	Pescadero	6:13:12	68.34 mi	6,130 ft		
Ride	Sun, 6/4/2017	Sequoia Challenge	6:17:25	66.52 mi	7,520 ft		
Ride	Wed, 8/5/2015	08/05/2015 Palo Alto, CA	4:56:15	66.33 mi	2,054 ft		
Ride	Fri, 8/28/2015	Pescadaro via OLH	5:18:51	66.01 mi	6,137 ft		
Ride	Fri, 11/20/2015	Los Gatos	5:29:40	65.73 mi	5,380 ft		
Ride	Sun, 6/3/2018	The Sequoia	5:58:15	64.92 mi	6,677 ft		
Ride	Thu, 6/19/2014	Sierra to the Sea Day 5	4:32:55	63.69 mi	2,584 ft		
Ride	Mon, 8/3/2015	08/03/2015 Palo Alto, CA	4:45:09	63.61 mi	1,877 ft		
Ride	Fri, 6/10/2016	Morning Ride	4:21:38	62.84 mi	3,196 ft		
Ride	Sun, 6/2/2013	Woodside Loop and Baylands	4:27:42	62.14 mi	2,169 ft		
Ride	Wed, 6/12/2013	ride	4:39:46	61.39 mi	2,207 ft		
Ride	Sat, 4/18/2015	Tunitas + Lobitos Creeks	5:14:38	61.27 mi	6,611 ft		
Ride	Sat, 11/11/2017	Los Gatos / Bay Trail	4:26:24	60.74 mi	1,316 ft		
Ride	Sun, 4/17/2016	La Honda / Skyline	5:10:41	60.35 mi	4,551 ft		
