5092,20.9,1360
13902.6,50,3183
4239.4,34,1011
14146.5,71,3407
1728,0,341
9595.8,58.6,1866
49571.4,377,8491
35040.3,113,6300
30775,60,5671
10246.2,41,1976
27850.7,67,5010
38901.6,69,7097
109988,1868.4,22392
32369.6,85,5723
40331.7,81,7573
40767.3,209,7162
1325.3,1,246
18910.7,43,3471
44109.3,86,7399
72041.9,194,11428
3683.3,8,672
62921,950,12532
38522.8,81,6817
33413.1,80,5413
32539.5,63,5828
38397.7,186,6436
21211.6,54,3526
48657.5,124,8447
40202.8,71,6669
42429,151,7301
11228.3,28,1915
24194.9,69,4318
12900.4,24,2016
15412.6,120,2305
19762.3,51,3504
1508.1,0,249
65299.3,158,10478
67507.3,876,13065
16946.2,77,2962
33243.3,112,5498
68070.4,680,13021
40093.5,196,6935
21359.9,54,3585
16272.9,58,2737
25929.6,66,4315
35441.9,127,6007
48548.5,183,8293
49959.7,417,8345
69561.3,1388,15231
0.2,0,1
8300,24,1390
8237,15,1434
26401.3,69,4627
8168,14,1380
52829.7,522,10629
90544,420,14305
23826.4,47,4256
21086.4,94,3688
39275.8,96,6794
38191.9,176,6345
22013.5,54,3740
42223.2,347,7006
65702,192,10873
33739.4,123,5642
21822.6,56,3837
48156.2,141,8536
17929.1,36,3193
64814.1,828,13178
66246.4,662,11974
83721.1,530,13959
0,0,11
65020.5,490,10428
83146.7,537,13594
17641.1,59,3075
42280.8,117,7278
49080.6,212,8387
96739.2,441,16418
112767,774,19010
41312.9,79,6969
32162.6,66,5377
33011.5,88,5915
15596.3,34,2551
50336.6,180,8616
32474.4,170,5403
28057,168,4916
23086.7,45,3707
43936.7,163,7637
72673.5,437,12868
72616,571,11927
49429.1,142,7957
80494.5,487,13948
26072.9,23.9,2108
32420.7,199,5635
19073.9,35,3322
49665,330,8026
34703.7,622,8248
9267.8,370,3502
8305.9,16,1279
32831.9,329,6889
56756.1,814,10380
33488.7,167,5813
36365.8,78,6147
33074.1,79,5575
64424.1,575,11041
64547.7,650,11491
2859.7,4,696
61900.6,321,10442
21655.9,43,3932
19244.1,38,3475
1354,5,369
59636.6,446,9253
52398.9,721,11092
22230.9,48,3773
33055.3,73,5556
54726.3,354,8969
7160.3,14,1326
58262.9,878,11317
29205,59,5105
33279.9,80,5748
38607.9,79,6432
73392.1,420,11051
26514.8,173,5638
48349.1,158,8337
34877.5,121,5978
80676.8,563,12721
22651.4,55,3744
27670.4,191,4888
17636.8,71,2876
51046.6,388,8626
30042.8,110,4658
54232.7,663,9899
24780,50,4293
65700.3,508,10326
34360.6,111,5877
27519.4,58,4746
84482.6,385,13108
7046.2,124,1453
29369.4,311,5233
31900.4,233,4671
47932.3,157,8155
32291.4,97,4985
62318.2,671,11662
17393.4,28,3106
12934.2,23,2189
19439.3,43,3300
32342.4,80,5424
33504.2,116,5455
64917.8,518,9693
9168.5,0,2427
5490.9,0,1274
1815,0,450
1566.9,0,325
81511.6,417,12496
40274.7,77,6450
48466.7,100,8391
32327.9,67,5379
34313.4,118,5611
4852.9,5,809
4003.1,10,699
64600.5,337,9666
4972.8,7,964
54646.6,419,8717
15142.8,107,2586
50941.5,726,8806
